,carat,cut,color,clarity,depth,table,price,x,y,z,predicted_price
15389,0.29,3,4,7,61.4,56.0,607,4.25,4.28,2.62,636.355
15390,0.29,5,3,6,61.6,55.0,607,4.27,4.29,2.64,570.77
15391,1.29,3,2,4,62.8,58.0,6166,6.89,6.93,4.34,6479.9478
15392,1.04,3,5,4,59.6,62.0,6166,6.56,6.62,3.93,6406.4683
15393,1.04,3,3,6,59.1,60.0,6166,6.6,6.66,3.92,6136.9272
15394,1.1,5,5,4,60.0,57.0,6166,6.76,6.71,4.04,7280.4424
15395,1.2,3,2,5,62.4,56.0,6167,6.78,6.74,4.22,5828.0947
15396,1.08,3,4,4,62.0,57.0,6168,6.52,6.55,4.05,6184.4404
15397,1.12,5,6,2,61.6,56.0,6168,6.69,6.71,4.13,5196.428
15398,1.02,3,4,4,63.4,59.0,6169,6.32,6.3,4.0,5707.3477
15399,1.2,5,3,3,61.9,54.0,6169,6.8,6.86,4.23,6480.164
15400,1.06,3,6,3,59.8,56.0,6169,6.63,6.67,3.98,5732.6846
15401,1.02,4,4,4,62.7,58.0,6169,6.45,6.4,4.03,6088.174
15402,1.02,3,4,4,63.2,57.0,6169,6.41,6.38,4.04,5884.277
15403,1.02,5,4,4,62.8,57.0,6169,6.46,6.41,4.04,6214.568
15404,1.02,4,4,4,59.2,59.0,6169,6.66,6.58,3.92,6006.964
15405,1.02,4,4,4,62.1,59.0,6169,6.47,6.41,4.0,6077.3667
15406,1.02,4,4,4,60.5,54.0,6169,6.57,6.48,3.95,6024.225
15407,1.02,4,4,4,59.8,58.0,6169,6.58,6.54,3.92,6025.0225
15408,1.02,5,4,4,61.9,53.0,6169,6.5,6.48,4.02,6432.354
15409,1.32,4,2,3,62.3,58.0,6171,6.98,7.01,4.36,5998.4263
15410,1.32,4,2,3,62.2,58.0,6171,6.99,7.04,4.36,5983.1265
15411,1.51,3,1,2,63.2,58.0,6171,7.28,7.25,4.59,6794.813
15412,1.23,4,6,2,62.4,60.0,6172,6.82,6.78,4.24,5876.561
15413,1.51,4,2,2,61.3,55.0,6173,7.41,7.36,4.53,7094.9355
15414,1.04,5,4,6,61.4,57.0,6173,6.52,6.44,3.98,8218.429
15415,1.05,2,7,3,63.7,59.0,6174,6.42,6.38,4.08,5458.9976
15416,1.05,4,7,3,59.3,58.0,6174,6.74,6.68,3.98,5880.39
15417,1.28,2,4,3,57.6,62.0,6175,7.17,7.13,4.12,6078.5293
15418,1.49,5,5,1,62.6,54.0,6175,7.31,7.28,4.57,5961.0366
15419,1.38,4,1,4,60.2,59.0,6175,7.29,7.19,4.36,6065.635
15420,1.01,2,7,4,64.2,60.0,6176,6.35,6.32,4.07,6229.9673
15421,1.01,1,7,4,65.6,61.0,6176,6.21,6.16,4.06,5795.368
15422,1.01,4,5,5,62.6,58.0,6176,6.48,6.37,4.02,7007.1387
15423,1.01,5,4,5,62.9,57.0,6176,6.43,6.39,4.03,6793.5522
15424,1.01,2,7,4,64.0,58.0,6176,6.3,6.24,4.01,5725.1865
15425,1.01,4,7,3,62.0,60.0,6176,6.4,6.37,3.96,5519.6978
15426,1.04,5,4,4,62.6,55.0,6177,6.45,6.49,4.05,6493.685
15427,1.04,5,4,4,61.4,57.0,6177,6.5,6.53,4.0,6499.2715
15428,1.04,3,4,4,61.9,57.0,6177,6.46,6.5,4.01,6110.3
15429,1.04,4,4,4,62.5,58.0,6177,6.43,6.47,4.03,6147.6694
15430,1.2,3,3,5,62.0,57.0,6177,6.77,6.81,4.21,6692.734
15431,1.04,3,4,4,61.8,56.0,6177,6.47,6.5,4.01,6182.477
15432,1.0,2,4,5,62.4,62.0,6177,6.33,6.37,3.96,6297.885
15433,1.11,2,6,3,61.4,57.5,6178,6.62,6.66,4.08,6027.8027
15434,1.03,5,5,3,62.4,57.0,6178,6.48,6.44,4.03,5249.9556
15435,1.21,5,3,3,61.1,57.0,6180,6.91,6.83,4.2,6311.378
15436,1.21,4,3,3,61.8,58.0,6180,6.83,6.79,4.21,5969.313
15437,1.05,4,4,4,62.8,58.0,6181,6.48,6.44,4.06,6116.1416
15438,1.37,4,5,2,62.8,57.0,6181,7.12,7.08,4.46,6179.3423
15439,1.05,4,4,4,61.8,58.0,6181,6.59,6.52,4.05,6084.5093
15440,1.2,4,5,4,61.4,58.0,6182,6.8,6.75,4.16,8006.5903
15441,1.2,2,3,3,64.2,60.0,6182,6.68,6.62,4.27,5456.1494
15442,1.0,2,5,4,63.2,59.0,6183,6.3,6.35,4.0,6241.8804
15443,1.0,3,5,4,62.2,57.0,6183,6.4,6.43,3.99,6446.166
15444,1.0,2,3,7,63.5,60.0,6183,6.3,6.36,4.02,5580.106
15445,1.0,3,5,4,62.9,59.0,6183,6.4,6.47,4.02,6518.2188
15446,1.53,4,4,1,62.8,58.0,6183,7.39,7.28,4.61,5506.9253
15447,1.23,5,2,3,61.1,58.0,6183,6.86,6.91,4.21,5898.465
15448,1.03,4,6,4,62.5,59.0,6183,6.44,6.42,4.02,6673.3833
15449,1.03,5,5,3,62.1,56.0,6183,6.5,6.46,4.03,5214.792
15450,1.22,4,3,4,62.7,59.0,6184,6.82,6.81,4.27,6461.5933
15451,1.54,5,4,1,61.6,55.0,6186,7.4,7.43,4.57,6755.975
15452,1.26,5,1,7,61.4,60.0,6186,6.92,6.95,4.26,6781.7026
15453,1.0,2,4,5,63.9,60.0,6187,6.3,6.35,4.04,6406.668
15454,1.3,4,2,3,58.1,59.0,6188,7.19,7.16,4.17,5327.3423
15455,1.21,3,3,4,62.9,57.0,6189,6.75,6.8,4.26,6312.7163
15456,1.21,3,3,4,62.9,57.0,6189,6.75,6.8,4.26,6312.7163
15457,1.0,2,7,4,60.8,61.0,6189,6.33,6.4,3.87,6536.9194
15458,1.0,2,7,4,62.8,61.0,6189,6.31,6.34,3.97,6251.0586
15459,1.0,3,7,4,61.2,61.0,6190,6.35,6.39,3.9,6690.278
15460,1.21,3,4,3,62.2,60.0,6190,6.71,6.73,4.18,5708.6396
15461,1.33,5,1,5,62.4,55.0,6190,7.02,7.05,4.39,6522.563
15462,1.21,5,7,2,62.0,57.0,6190,6.81,6.83,4.23,6383.3228
15463,1.18,5,2,4,62.3,55.6,6191,6.73,6.76,4.21,5527.675
15464,1.02,5,7,3,62.3,57.0,6191,6.41,6.44,4.0,5959.5146
15465,1.2,3,2,5,62.6,59.0,6192,6.69,6.73,4.2,5858.656
15466,1.0,2,5,4,62.4,60.0,6192,6.27,6.29,3.92,5973.6064
15467,1.14,3,5,3,61.3,62.0,6194,6.71,6.77,4.13,5822.1826
15468,1.21,3,3,3,62.2,56.0,6194,6.75,6.79,4.21,6029.2134
15469,1.0,2,3,6,63.7,52.0,6194,6.41,6.36,4.07,5531.73
15470,1.54,4,1,5,60.9,61.0,6194,7.49,7.45,4.55,7501.846
15471,1.58,4,5,2,59.1,59.0,6194,7.68,7.59,4.51,8290.802
15472,1.02,3,5,3,60.2,58.0,6195,6.49,6.54,3.92,5179.5703
15473,1.01,3,5,4,59.1,59.0,6196,6.58,6.65,3.91,6625.9624
15474,1.0,3,7,3,60.3,58.0,6196,6.44,6.49,3.9,5558.29
15475,1.05,5,7,3,60.7,60.0,6196,6.52,6.56,3.97,6024.1855
15476,1.19,4,3,4,62.6,56.0,6198,6.81,6.76,4.25,6439.381
15477,1.2,3,3,3,62.4,60.0,6199,6.75,6.71,4.2,5669.5454
15478,1.23,4,2,4,59.3,59.0,6199,7.13,6.97,4.18,5993.0356
15479,1.23,5,3,2,60.6,56.0,6199,6.94,6.92,4.2,5701.013
15480,1.35,5,2,3,62.3,57.0,6199,7.11,7.05,4.41,6140.784
15481,1.23,5,3,2,62.1,56.0,6199,6.85,6.82,4.24,5621.152
15482,1.07,5,5,3,62.3,56.0,6200,6.51,6.53,4.06,5537.635
15483,1.22,5,1,5,61.4,58.0,6201,6.85,6.87,4.21,5768.2227
15484,1.54,4,1,4,59.3,59.0,6202,7.54,7.5,4.46,7179.5938
15485,1.16,4,3,4,62.3,56.0,6202,6.77,6.68,4.19,5968.491
15486,1.33,3,2,4,62.5,61.0,6203,6.99,7.02,4.38,6705.2354
15487,1.08,5,7,3,61.3,56.0,6203,6.63,6.72,4.09,6572.7725
15488,1.01,3,4,4,62.5,59.0,6204,6.34,6.37,3.97,5990.867
15489,1.01,3,5,4,59.2,60.0,6204,6.46,6.51,3.84,6393.523
15490,1.02,3,3,5,61.4,56.5,6204,6.44,6.47,3.97,5913.584
15491,1.04,4,4,4,62.3,54.0,6206,6.55,6.49,4.06,6155.135
15492,1.23,4,2,4,61.1,60.0,6206,6.95,6.89,4.23,6070.2344
15493,1.0,3,6,3,61.4,60.0,6207,6.4,6.44,3.94,5420.6807
15494,1.0,3,4,4,62.7,59.0,6208,6.32,6.38,3.98,5978.633
15495,0.9,3,7,5,62.2,58.0,6208,6.14,6.18,3.83,5611.7847
15496,1.0,4,4,6,62.8,57.0,6209,6.38,6.29,3.98,6950.4077
15497,1.12,5,4,4,62.1,57.0,6209,6.6,6.63,4.11,6911.504
15498,1.0,5,5,4,62.8,57.0,6209,6.35,6.3,3.97,6296.011
15499,1.0,4,5,4,61.6,55.0,6209,6.42,6.34,3.93,6135.718
15500,1.1,4,7,4,60.0,59.0,6209,6.67,6.6,3.98,7565.9785
15501,1.0,2,5,4,63.8,58.0,6209,6.32,6.28,4.02,5920.3003
15502,1.0,4,4,4,62.9,56.0,6209,6.42,6.34,4.01,5648.134
15503,1.2,2,5,5,64.0,56.0,6209,6.63,6.58,4.23,7291.3804
15504,1.5,1,2,2,68.1,59.0,6209,7.12,6.84,4.75,5709.576
15505,1.2,5,2,5,62.1,56.5,6210,6.8,6.84,4.23,6413.7275
15506,1.28,4,3,3,62.1,62.0,6210,6.88,6.83,4.26,6146.321
15507,1.0,1,5,4,64.9,52.0,6210,6.24,6.33,4.08,5943.5576
15508,1.06,3,4,4,60.1,58.0,6212,6.64,6.67,4.0,6545.666
15509,1.06,2,4,4,63.1,59.0,6212,6.45,6.48,4.08,6246.742
15510,1.01,3,4,4,60.2,58.0,6213,6.51,6.54,3.93,6107.16
15511,1.07,4,4,4,61.9,60.0,6213,6.55,6.48,4.03,6242.3096
15512,1.03,4,4,4,62.3,59.0,6214,6.38,6.42,3.99,6163.224
15513,1.52,4,2,2,62.2,59.0,6214,7.36,7.27,4.56,7007.666
15514,1.24,4,3,3,60.1,58.0,6215,7.04,7.01,4.22,6388.0586
15515,1.02,4,6,4,61.9,62.0,6215,6.47,6.38,3.98,6331.3833
15516,1.51,2,1,2,58.1,64.0,6215,7.57,7.53,4.39,5886.724
15517,1.48,4,3,2,59.7,59.0,6216,7.46,7.42,4.44,7027.4434
15518,1.0,4,4,4,61.6,54.0,6216,6.49,6.46,3.99,6063.801
15519,1.22,4,2,4,60.3,59.0,6217,6.93,6.87,4.16,5949.854
15520,1.06,3,4,4,59.4,59.0,6217,6.68,6.63,3.95,6212.404
15521,1.03,3,5,4,63.4,62.0,6218,6.34,6.31,4.01,6166.488
15522,1.02,4,5,4,62.7,59.0,6220,6.41,6.44,4.03,6577.4805
15523,1.01,4,4,5,62.7,58.0,6221,6.31,6.36,3.97,6485.4424
15524,1.01,3,6,4,62.9,58.0,6221,6.37,6.47,4.04,6586.6035
15525,1.01,3,6,4,63.0,60.0,6221,6.32,6.35,3.99,6514.384
15526,1.01,2,6,4,62.5,58.0,6221,6.32,6.36,3.96,6433.099
15527,1.01,2,6,4,63.7,56.0,6221,6.27,6.29,4.0,6101.7925
15528,1.01,2,6,4,62.6,58.0,6221,6.33,6.36,3.97,6433.099
15529,1.32,1,6,2,65.2,58.0,6221,6.86,6.79,4.45,5996.179
15530,1.12,5,3,4,61.8,55.0,6222,6.7,6.64,4.12,6267.532
15531,1.0,2,5,4,63.1,57.0,6223,6.32,6.36,4.0,6204.2817
15532,1.62,2,1,2,64.2,62.0,6223,7.41,7.33,4.73,6243.31
15533,1.21,4,6,2,61.5,58.0,6223,6.86,6.79,4.2,5672.1606
15534,1.47,4,1,2,60.0,58.0,6223,7.36,7.31,4.4,6089.6655
15535,1.05,3,6,3,59.7,57.0,6224,6.63,6.71,3.98,5547.535
15536,1.5,4,4,2,61.8,60.0,6224,7.28,7.25,4.49,8343.432
15537,1.5,2,2,3,63.8,56.0,6224,7.26,7.15,4.59,7548.2896
15538,1.09,5,2,5,61.8,55.0,6225,6.59,6.62,4.08,5633.704
15539,1.09,5,2,5,61.4,56.0,6225,6.61,6.66,4.07,5773.989
15540,1.31,5,3,2,62.3,56.0,6225,7.0,6.97,4.35,6239.2495
15541,1.21,3,3,3,60.2,58.0,6229,6.89,6.93,4.16,6175.793
15542,1.03,4,4,4,58.9,59.0,6229,6.65,6.59,3.9,5993.145
15543,1.03,5,4,4,60.3,56.0,6229,6.59,6.55,3.96,6455.7983
15544,1.25,4,3,2,62.2,60.0,6230,6.83,6.8,4.24,5247.544
15545,0.9,5,6,5,61.7,56.0,6230,6.19,6.22,3.83,5799.822
15546,1.24,5,2,3,62.0,58.0,6232,6.83,6.88,4.25,5863.8955
15547,1.07,4,6,4,62.5,57.0,6232,6.6,6.53,4.1,6971.1743
15548,1.04,3,4,4,63.4,55.0,6232,6.48,6.42,4.09,6085.788
15549,1.23,3,5,2,61.9,58.0,6233,6.77,6.79,4.2,5383.3
15550,1.0,5,4,4,58.9,60.0,6235,6.53,6.58,3.86,6485.411
15551,1.31,4,1,5,62.3,56.0,6236,7.06,6.99,4.38,5835.0845
15552,1.31,4,3,2,61.4,60.0,6236,7.04,7.0,4.31,5800.906
15553,1.28,4,4,2,62.6,58.0,6236,6.94,6.89,4.33,5604.6177
15554,1.34,3,1,5,61.7,59.0,6237,7.03,7.14,4.37,6517.0337
15555,1.34,3,1,5,63.0,57.0,6237,6.9,7.01,4.38,5940.8555
15556,1.22,4,6,2,61.5,58.0,6237,6.81,6.85,4.2,5936.22
15557,0.9,5,4,7,62.9,56.0,6237,6.11,6.19,3.87,6499.0947
15558,1.53,2,2,2,63.9,59.0,6238,7.31,7.17,4.64,6556.673
15559,1.02,4,4,5,62.0,59.0,6238,6.45,6.39,3.98,6656.103
15560,1.02,4,5,5,61.4,59.0,6238,6.48,6.42,3.96,7222.011
15561,1.01,3,4,5,60.5,60.0,6239,6.44,6.52,3.92,6547.3716
15562,1.01,3,4,5,60.7,63.0,6239,6.38,6.4,3.88,6419.9453
15563,1.01,4,4,5,59.9,59.0,6239,6.48,6.51,3.89,6489.1235
15564,1.01,5,4,4,61.6,56.0,6239,6.43,6.46,3.97,6527.2256
15565,1.26,5,3,2,62.0,55.0,6239,6.9,6.97,4.29,6178.3657
15566,1.06,5,4,4,61.8,57.0,6240,6.56,6.52,4.04,6678.0576
15567,1.03,5,4,4,61.8,56.0,6241,6.54,6.48,4.02,6503.581
15568,1.11,5,7,2,61.3,56.0,6241,6.74,6.68,4.12,5430.1406
15569,1.01,4,5,4,62.3,58.0,6244,6.34,6.4,3.97,6465.1353
15570,1.01,4,5,4,61.5,58.0,6244,6.41,6.46,3.96,6500.0986
15571,1.0,3,6,4,62.9,59.0,6245,6.27,6.38,3.98,6523.442
15572,1.56,2,2,3,64.0,57.0,6246,7.32,7.28,4.67,7788.566
15573,1.56,2,4,2,63.7,54.0,6246,7.35,7.31,4.67,7190.4375
15574,1.3,4,2,4,62.7,58.0,6246,6.97,6.9,4.35,6357.253
15575,1.01,2,4,5,58.7,62.0,6247,6.49,6.55,3.83,6317.0625
15576,1.0,2,6,4,62.4,58.0,6248,6.33,6.4,3.97,6512.1113
15577,1.21,3,7,2,62.4,58.0,6248,6.77,6.83,4.24,6323.8843
15578,1.0,3,3,6,62.6,56.0,6249,6.36,6.39,3.99,5955.5684
15579,1.06,5,5,3,61.7,55.1,6249,6.56,6.58,4.06,5786.687
15580,1.03,5,7,3,61.9,57.0,6250,6.52,6.54,4.04,5993.609
15581,1.01,2,6,4,60.8,63.0,6250,6.44,6.46,3.92,6372.6597
15582,1.22,2,3,2,63.5,56.0,6250,6.84,6.77,4.32,5049.4287
15583,1.2,4,3,4,60.7,60.0,6250,6.88,6.82,4.16,6232.686
15584,1.2,4,5,3,62.4,58.0,6250,6.81,6.75,4.23,6165.7397
15585,1.2,4,2,5,59.9,59.0,6250,6.96,6.87,4.14,5900.5444
15586,1.0,2,7,5,64.0,58.0,6250,6.27,6.21,3.99,7165.573
15587,1.5,4,3,2,61.1,59.0,6250,7.41,7.35,4.51,7571.8506
15588,1.5,1,3,2,64.6,59.0,6250,7.2,7.11,4.62,7256.4863
15589,1.39,5,1,4,60.3,57.0,6252,7.24,7.26,4.37,6291.7896
15590,1.35,4,1,4,60.5,56.0,6254,7.19,7.12,4.33,6026.926
15591,1.24,5,3,3,61.3,57.0,6254,6.95,6.89,4.24,6386.3374
15592,1.04,5,3,5,62.2,56.6,6255,6.43,6.49,4.02,6192.1743
15593,1.05,5,3,3,61.3,57.0,6255,6.51,6.54,4.0,5128.7173
15594,1.53,5,2,2,61.8,56.0,6255,7.4,7.35,4.56,7444.9478
15595,1.14,4,4,4,61.9,58.0,6256,6.72,6.68,4.15,6864.5464
15596,1.14,4,7,3,58.9,59.0,6256,6.84,6.78,4.01,6453.9736
15597,1.33,4,6,2,61.0,60.0,6256,7.13,7.05,4.33,6680.5063
15598,1.24,4,2,4,60.2,58.0,6257,6.98,6.93,4.19,6134.9683
15599,1.01,3,5,4,58.8,63.0,6257,6.51,6.56,3.84,6361.6455
15600,1.01,3,5,4,59.2,59.0,6257,6.49,6.61,3.88,6467.6
15601,1.01,3,4,6,61.9,58.0,6257,6.38,6.48,3.98,7276.748
15602,1.01,5,7,3,62.2,54.0,6257,6.42,6.45,4.0,5838.3857
15603,1.09,5,7,3,62.8,54.0,6259,6.6,6.62,4.15,6127.371
15604,1.04,5,6,3,62.6,53.0,6260,6.49,6.52,4.07,5601.078
15605,1.38,5,1,3,61.8,56.0,6260,7.17,7.14,4.42,6241.48
15606,1.37,4,4,2,62.4,58.0,6260,7.1,7.0,4.4,6095.8657
15607,1.3,4,5,2,61.1,58.0,6261,7.02,6.98,4.28,5807.8247
15608,1.21,4,6,3,60.0,60.0,6261,7.01,6.92,4.18,6641.9746
15609,1.21,4,6,3,63.0,57.0,6261,6.75,6.7,4.24,6242.4277
15610,1.54,2,6,1,63.3,60.0,6261,7.26,7.3,4.61,5943.9688
15611,1.21,5,5,4,62.6,55.0,6261,6.81,6.74,4.24,8702.932
15612,1.0,5,6,4,62.0,56.0,6261,6.42,6.36,3.96,6912.7896
15613,1.07,3,3,5,62.5,56.0,6262,6.52,6.55,4.08,5957.1895
15614,1.12,3,5,3,62.9,57.0,6262,6.6,6.62,4.16,5289.4097
15615,1.0,3,4,5,62.4,60.0,6263,6.37,6.39,3.98,6627.589
15616,1.31,3,3,2,61.7,59.0,6263,6.96,7.01,4.31,5973.4023
15617,1.02,5,3,3,61.8,57.0,6264,6.43,6.46,3.98,5096.354
15618,1.01,3,6,4,61.7,60.0,6265,6.36,6.45,3.95,6614.32
15619,1.51,2,2,3,63.8,59.0,6266,7.27,7.21,4.62,7969.14
15620,1.51,4,4,2,60.0,60.0,6266,7.45,7.4,4.48,7807.8105
15621,1.0,2,5,4,63.3,55.0,6267,6.29,6.34,4.0,5967.1265
15622,1.01,3,5,4,63.1,56.0,6267,6.41,6.37,4.03,6460.44
15623,1.01,3,6,3,60.8,59.0,6268,6.43,6.5,3.93,5382.1797
15624,1.0,1,6,4,57.4,58.0,6268,6.57,6.64,3.79,6360.308
15625,1.01,3,7,3,61.4,59.0,6270,6.37,6.43,3.93,5706.2227
15626,1.01,3,7,3,63.6,59.0,6270,6.33,6.37,4.04,5628.66
15627,1.01,1,4,4,59.1,56.0,6271,6.55,6.52,3.86,5696.773
15628,1.01,4,5,4,62.4,56.0,6271,6.43,6.35,3.99,6371.6274
15629,1.01,4,5,4,58.9,58.0,6271,6.59,6.51,3.86,6358.404
15630,1.01,4,5,4,62.7,58.0,6271,6.37,6.3,3.97,6010.548
15631,1.01,4,5,4,62.3,58.0,6271,6.34,6.3,3.94,6003.1294
15632,1.01,2,5,4,60.8,61.0,6271,6.42,6.45,3.91,6347.98
15633,1.01,3,5,4,63.1,60.0,6271,6.39,6.29,4.0,6004.5903
15634,1.01,4,5,4,61.3,61.0,6271,6.38,6.34,3.9,6069.3228
15635,1.01,1,5,4,61.1,60.0,6271,6.49,6.4,3.94,6173.479
15636,1.01,4,7,4,61.6,59.0,6271,6.38,6.32,3.91,6435.4116
15637,1.01,4,5,4,62.5,58.0,6271,6.43,6.4,4.01,6456.9185
15638,1.01,5,4,4,61.6,57.0,6271,6.44,6.41,3.96,6284.4805
15639,1.01,4,5,4,60.4,59.0,6271,6.52,6.46,3.92,6450.458
15640,1.0,4,6,4,62.8,62.0,6272,6.29,6.26,3.94,6026.694
15641,1.18,5,2,5,62.2,55.0,6272,6.8,6.77,4.22,6160.1567
15642,1.0,4,4,4,61.6,58.0,6272,6.44,6.42,3.96,5996.1597
15643,1.6,1,5,2,65.0,56.0,6272,7.35,7.26,4.8,7056.826
15644,1.0,2,6,4,57.4,62.0,6272,6.56,6.53,3.76,6076.7188
15645,1.0,5,4,4,62.3,54.0,6272,6.42,6.38,3.99,6117.083
15646,1.0,4,4,4,60.1,57.0,6272,6.42,6.35,3.84,5821.3438
15647,1.0,2,6,4,63.8,58.0,6272,6.31,6.19,3.99,5838.083
15648,1.0,4,6,4,59.9,59.0,6272,6.45,6.38,3.84,6361.8457
15649,1.07,3,4,4,62.3,57.0,6274,6.56,6.47,4.06,6241.8037
15650,1.07,4,5,4,62.4,57.0,6274,6.55,6.5,4.07,6650.4077
15651,1.19,5,3,3,62.0,56.4,6275,6.77,6.81,4.2,6094.2188
15652,1.0,2,6,3,61.1,58.0,6275,6.43,6.41,3.92,5252.711
15653,1.26,5,5,2,62.7,58.0,6277,6.91,6.87,4.32,5923.5063
15654,1.54,4,2,2,61.5,61.0,6278,7.41,7.31,4.53,7033.8013
15655,1.22,3,4,3,63.4,57.0,6278,6.74,6.77,4.28,6235.6533
15656,1.04,4,5,4,59.6,62.0,6278,6.62,6.56,3.93,6388.4097
15657,1.04,4,3,6,59.1,60.0,6278,6.66,6.6,3.92,6030.585
15658,1.36,3,3,2,61.5,58.0,6279,7.09,7.16,4.38,6316.3467
15659,1.05,5,2,4,62.2,55.8,6279,6.49,6.52,4.04,5386.666
15660,1.21,5,2,5,60.3,60.0,6279,6.89,6.93,4.17,6684.2935
15661,1.0,2,6,4,60.7,62.0,6279,6.33,6.46,3.88,6287.008
15662,1.29,4,2,4,62.2,57.0,6279,7.01,6.97,4.35,6279.7354
15663,1.35,5,1,3,62.3,57.0,6281,7.02,7.08,4.39,5561.2915
15664,1.2,4,3,3,60.8,60.0,6282,6.9,6.85,4.18,6016.7603
15665,1.0,3,5,4,62.5,58.0,6283,6.32,6.36,3.96,6386.123
15666,1.32,4,2,3,62.2,58.0,6283,7.04,6.99,4.36,5937.5464
15667,1.01,2,4,5,63.8,56.0,6283,6.27,6.34,4.02,6152.589
15668,1.1,4,4,4,60.5,60.0,6284,6.67,6.58,4.01,6495.661
15669,1.0,3,6,4,64.0,59.0,6285,6.22,6.31,4.01,6309.4136
15670,1.0,1,6,4,57.3,64.0,6285,6.59,6.46,3.79,6006.913
15671,1.18,3,4,3,60.8,58.0,6286,6.81,6.85,4.15,6314.687
15672,1.04,5,4,4,62.0,59.0,6286,6.43,6.5,4.01,6643.9453
15673,1.04,5,4,4,59.4,58.0,6286,6.63,6.67,3.95,6778.954
15674,1.01,3,5,4,58.8,59.0,6288,6.55,6.59,3.86,6453.7812
15675,1.01,3,5,4,60.8,58.0,6288,6.44,6.49,3.93,6515.643
15676,1.01,3,5,4,59.4,61.0,6288,6.48,6.51,3.86,6375.339
15677,1.23,5,6,2,61.2,55.0,6288,6.92,7.01,4.26,6264.0264
15678,1.32,5,1,4,62.3,57.0,6288,6.96,7.0,4.35,5876.1245
15679,1.09,5,3,4,61.3,56.0,6288,6.57,6.63,4.05,6230.991
15680,1.01,2,5,4,61.7,58.0,6288,6.3,6.34,3.9,6009.848
15681,1.01,2,5,4,62.1,58.0,6288,6.28,6.35,3.92,6237.8755
15682,1.22,4,4,3,62.3,58.0,6288,6.83,6.76,4.23,6368.1904
15683,0.9,3,6,6,62.2,60.0,6289,6.04,6.12,3.78,5797.3774
15684,1.01,3,5,4,63.7,56.0,6289,6.29,6.34,4.02,6154.9536
15685,2.49,1,1,1,66.3,58.0,6289,8.26,8.18,5.45,6361.687
15686,1.23,5,7,2,60.6,54.0,6289,6.97,7.02,4.24,6457.692
15687,1.23,5,7,2,62.4,56.0,6289,6.81,6.87,4.27,6434.4136
15688,1.3,3,2,4,62.7,57.0,6290,6.88,6.9,4.32,6312.0093
15689,1.04,5,4,4,61.4,57.0,6290,6.53,6.5,4.0,6469.9897
15690,1.04,4,4,4,62.5,58.0,6290,6.47,6.43,4.03,6100.408
15691,0.29,5,4,6,61.4,57.0,607,4.27,4.3,2.63,675.03094
15692,0.29,5,4,6,60.7,54.0,607,4.33,4.37,2.64,620.70966
15693,0.29,5,4,6,61.9,56.0,607,4.24,4.25,2.62,671.9604
15694,0.36,5,2,7,61.6,56.0,607,4.58,4.61,2.83,790.29156
15695,0.29,5,3,7,62.1,55.0,607,4.28,4.3,2.66,625.25006
15696,0.29,5,4,7,62.3,55.0,607,4.25,4.29,2.66,670.16614
15697,0.29,5,4,7,62.8,54.0,607,4.21,4.24,2.65,657.54266
15698,0.35,5,5,3,61.5,54.0,607,4.57,4.6,2.82,696.2557
15699,0.29,5,3,8,62.2,55.0,607,4.25,4.28,2.65,666.4214
15700,0.29,5,3,8,60.7,57.0,607,4.3,4.33,2.62,651.3987
15701,0.29,5,3,8,62.1,55.0,607,4.26,4.29,2.65,667.3237
15702,0.34,5,4,3,62.7,57.0,607,4.51,4.48,2.82,611.4357
15703,0.31,2,5,5,63.9,55.0,607,4.27,4.3,2.74,611.51117
15704,0.24,3,5,6,61.8,56.0,608,4.01,4.04,2.48,558.4215
15705,0.24,3,5,6,61.7,56.0,608,3.98,4.0,2.45,529.6157
15706,0.24,3,5,6,60.6,59.0,608,4.04,4.06,2.45,529.34906
15707,0.24,3,6,6,62.2,56.0,608,3.96,3.98,2.47,506.0623
15708,0.24,3,6,6,62.4,54.0,608,3.96,3.99,2.48,492.39523
15709,0.24,3,5,7,62.2,57.0,608,3.97,4.0,2.48,514.0794
15710,0.24,3,5,7,62.3,56.0,608,3.97,4.01,2.49,515.0644
15711,0.24,3,5,7,60.4,56.0,608,4.05,4.07,2.45,519.63586
15712,0.24,3,5,7,62.5,55.0,608,3.98,4.02,2.49,520.6753
15713,0.37,3,3,4,63.5,59.0,608,4.51,4.55,2.88,648.9277
15714,0.37,5,4,3,61.0,56.0,608,4.61,4.68,2.84,603.2246
15715,0.36,4,4,2,59.3,59.0,608,4.66,4.62,2.75,583.9791
15716,0.36,4,4,2,62.4,58.0,608,4.58,4.56,2.85,595.4737
15717,0.36,4,4,2,60.8,58.0,608,4.61,4.57,2.79,561.65466
15718,0.36,4,4,2,61.9,56.0,608,4.59,4.55,2.83,590.2042
15719,0.3,4,3,4,61.1,59.0,608,4.37,4.3,2.65,627.6814
15720,0.3,5,2,5,61.6,56.0,608,4.36,4.31,2.67,624.4684
15721,1.04,5,4,4,61.8,56.0,6290,6.5,6.47,4.01,6503.581
15722,1.04,5,4,4,61.9,57.0,6290,6.5,6.46,4.01,6431.404
15723,1.0,4,4,5,62.4,62.0,6290,6.37,6.33,3.96,6147.8843
15724,1.04,5,4,4,62.6,55.0,6290,6.49,6.45,4.05,6294.281
15725,1.04,4,4,4,62.6,56.0,6290,6.44,6.41,4.02,6071.4316
